url,breadcrumb,title,description,address,monthly_rent,monthly_aconto,available_from,rental_period,housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrasse,parking,dishwasher,washing_machine,charging_station,dryer,energy_label,deposit,prepaid_rent,creation_date,case_number,energy_mark_source,Indskud,energy_mark,area,availability_in,days_on_website,total_monthly_rent,months_on_website
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/57m2-2-vaer-id-5350053,Hjem > Lejligheder > København > 2 værelses > Søborg > Hjem > Lejligheder > København > 2 værelses > Søborg,Big and Lovely 2-room Funished apartment,"Located oppesit trainstation, connection every 10 minutes to Copenhagen main station.

Shareable 2 bedroom apartment.

The apartment is newly renovated and freshly painted.

The apartment consists of living room and bedroom, as well as a kitchen and bathroom and a small balcony.

Washing machine and dryer are located in the basement together with bike and storage room.

Pls. note that the pictures may not be from the specific apartment, but the floor plan is exacts the same.","34 min. siden, Buddingevej, 2860 København, Søborg  - 2. sal",8500.0,800.0,2025-05-15,43.300 kr.,Lejlighed,57.0,2,2,No,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,-,25500.0,8500.0,2025-05-14,5350053,,,,Søborg,<1 month,1.0,9300.0,<1 month
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/58m2-2-vaer-id-5505923,Hjem > Lejligheder > København > 2 værelses > København S > Hjem > Lejligheder > København > 2 værelses > København S,2 værelses lejlighed på Gertrude Steins Vej i København S udlejes,"Skøn lejlighed til leje i København SVelkommen til denne charmerende lejlighed beliggende på Gertrude Steins Vej! 🏡 Denne lejlighed er perfekt til både studerende og professionelle, der ønsker at bo i en livlig del af København. Lejligheden byder på moderne faciliteter og en lys, indbydende atmosfære. Med to værelser er der plads til både personlig og professionel indretning.Transportmuligheder i nærhedenNår det kommer til transport, er du godt dækket ind! 🚆 I nærheden finder du både S-togstationer og stoppesteder for busser, hvilket giver en nem forbindelse til København centrum og andre steder i byen. Med offentlige transportmuligheder lige rundt om hjørnet er det en leg at komme omkring!Fritidsmuligheder og sundhedFor dem, der prioriterer sundhed og velvære, er der flere fitnesscentre og sportsaktiviteter i nærheden. 💪 Den nærmeste hospital ligger også i kort afstand, hvilket giver en tryghed og bekvemmelighed for beboerne. Området er godt egnet til både løb og cykling med flere grønne områder til rådighed.Uddannelsesmuligheder og tilgængelighedFor familier er der også gode uddannelsesmuligheder i området. 🏫 En nærliggende skole tilbyder kvalitetsuddannelse for børn, og området er let tilgængeligt med offentlige transportmidler. Du vil hurtigt opdage, at livet her er både praktisk og behageligt!Interesseret? Tøv ikke med at kontakte os for en fremvisning! ✉️ Vi ser frem til at høre fra dig.Bemærk: Denne annonce er kun til informationsformål og kan ændres uden varsel.Billederne i denne annonce kan være fra lignende enheder og er kun til illustration. De repræsenterer stilen og kvaliteten af de tilgængelige enheder og kan variere i opbygning og detaljer.Møblerne vist på billederne medfølger ikke. De skal give et indtryk af, hvordan rummet kan indrettes, men er ikke inkluderet i lejemålet.","5 timer siden, Gertrude Steins Vej, 2300 København, København S  - 1. sal",12650.0,600.0,2025-07-31,63.850 kr.,Lejlighed,58.0,2,1,No,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ja,Nej,Ja,-,37950.0,12650.0,2025-05-14,5505923,,,,København S,1-3 months,1.0,13250.0,<1 month
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/217m2-4-vaer-id-5505912,Hjem > Lejligheder > København > 4 værelses > København V > Hjem > Lejligheder > København > 4 værelses > København V,Penthouse med alt hvad hjertet begærer,"Penthouse med den smukkeste udsigt og en ro der er fantastisk – selvom du bor midt i København. Denne skønne 7 vær. lejlighed ligger i det centrale København. Ord kan ikke beskrive denne lejlighed – det skal simpelthen opleves. Vigtigt, at bemærke, at i lejligheden medfølger flotte gardiner og der er mulighed ligeledes at leje en parkeringsplads i kælderen.

Der er 2 eksklusive penthouses med en skøn stor 180 graders tagterrasse til hver. Prisen er på kr. 57.000 + vand, varme og køl.

Lejligheden ligger i Postbyens markante silhuet med sine fire runde tårne er allerede blevet et nyt vartegn for den centrale del af København. I to af tårnene indrettes der 160 moderne lejeboliger.

I Postbyen bor du i et helt nyt levende bykvarter med hoteller, butikker, restauranter, caféer, og meget mere. Dit nye hjem ligger omgivet af smuk arkitektur, og nedenfor din hoveddør ligger byparken, der grønt og frodigt snor sig gennem Postbyen. Fri for biler og med plads til mennesker.

De cirkelrunde boligtårne skaber nemlig vinkler, snit og hjørner, hvor man hver dag kan glædes over at bo i et hjem, hvor vægge, gulve og lofter ikke følger den traditionelle vinkeltrekant.

Boligtårnenes karakteristiske takkede facadeprofiler skaber nogle spændende indvendige vinduesløsninger med dybe nicher. Det giver en række hyggelige kroge, hvor udsigten kan nydes med en pude i ryggen og byen for fødderne.

Alle boliger er forkælet med muligheden for at sidde udenfor på sin egen, private altan, hvor udsigten tager vejret fra dig, jo højere du bor. En oplevelse, der først slutter, når elevatoren standser ved 28. etage i det højeste boligtårn.

Øverst oppe i begge boligtårne er der skabt rum for to imponerende fællesrum, hvor du som lejer kan booke dig ind til at afholde arrangementer, fødselsdage eller barnedåben. Måske er i en række naboer, der går sammen om at booke en foredragsholder eller en yogainstruktør – der kan være noget ret magisk over at lave en solhilsen med udsigt over byen, Øresund og hele vejen til Sverige.

Lejer bedes bemærke, at billederne nødvendigvis ikke stammer fra den konkrete bolig, men kan være fra andre lejligheder i komplekset.","6 timer siden, Posten, 1577 København, København V  - 28. sal",57000.0,2610.0,2026-02-01,287.610 kr.,Lejlighed,217.0,4,28,No,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,-,171000.0,57000.0,2025-05-14,5505912,,,,København V,3+ months,1.0,59610.0,<1 month
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/35m2-1-vaer-id-5505911,Hjem > Lejligheder > København > 1 værelses > København Sv > Hjem > Lejligheder > København > 1 værelses > København Sv,1 værelses lejlighed på Poppelstykket i København Sv udlejes,"Skøn lejlighed i hjertet af København SVVelkommen til denne dejlige lejlighed på Poppelstykket i København SV! 🌟 Lejligheden byder på rummelighed og lysindfald, perfekt til både studerende og professionelle. Den har moderne faciliteter med et lyst køkken og et åbent opholdsområde, der skaber en indbydende atmosfære. Her kan du nyde dit morgenkaffe i ro og mag, mens solen strømmer ind.TransportmulighederBeliggenheden er ideel med nem adgang til offentlig transport. Nærmeste togstation er en kort gåtur væk, og der er flere buslinjer, der forbinder dig til resten af byen. 🚆 Uanset om du arbejder i centrum eller studerer, vil du finde transportmuligheder, der gør pendlingen til en leg.Nærliggende faciliteterFor sundhed og velvære ligger det næste hospital kun en kort afstand fra lejligheden. 🏥 Derudover er der flere fitnesscentre og sportsaktiviteter i området, hvor du kan holde dig i form og deltage i diverse holdtræninger. Det er en fantastisk måde at møde nye mennesker og få motionsrutinen på plads!Skoler og tilgængelighedLejligheden ligger tæt på en anerkendt skole, hvilket gør det til et ideelt hjem for familier. 🏫 Området er tilgængeligt med gode cykelstier og sikre gangveje, så du nemt kan komme rundt. Det er også nær en park, der er perfekt for udendørs aktiviteter og afslapning.""Bemærk venligst, at billeder og oplysninger kan variere.""Billederne i denne annonce kan være fra lignende enheder og er kun til illustration. De repræsenterer stilen og kvaliteten af de tilgængelige enheder og kan variere i opbygning og detaljer.Møblerne vist på billederne medfølger ikke. De skal give et indtryk af, hvordan rummet kan indrettes, men er ikke inkluderet i lejemålet.","6 timer siden, Poppelstykket, 2450 København, København SV  - 4. sal",8350.0,550.0,2025-08-31,42.300 kr.,Lejlighed,35.0,1,4,No,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,,25050.0,8350.0,2025-05-14,5505911,/static/images/energy_labels/A20_str2.png,,A20,København SV,3+ months,1.0,8900.0,<1 month
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/68m2-2-vaer-id-5370893,Hjem > Lejligheder > København > 2 værelses > København S > Hjem > Lejligheder > København > 2 værelses > København S,God 2 værelses lejlighed,"Lejligheden har et fantastisk lysindfald fra de store vinduer og er kendetegnet ved lækre materialer overalt såsom grebsfrit Invita køkken med hårde hvidevarer fra Siemens og tidløst badeværelse med gulvvarme. Her får du smukke materialer i grålige og varme, lyse jordfarver - nøje udvalgt til at skabe harmoni med den farverige og frodige taghave. Det er muligt at ansøge om husdyrtilladelse i alle vores lejemål. OBS: ønskes der mål af lejligheden skal du selv huske opmålings udstyr til fremvisning, da der ikke er mål på plantegningen.","7 timer siden, Else Alfelts Vej, 2300 København, København S  - 2. sal",13000.0,800.0,2025-06-15,65.800 kr.,Lejlighed,68.0,2,2,No,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ja,Ja,Ja,Ja,,39000.0,13000.0,2025-05-14,5370893,/static/images/energy_labels/A20_str2.png,,A20,København S,1-3 months,1.0,13800.0,<1 month
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/135m2-5-vaer-id-5095017,Hjem > Lejligheder > København > 5 værelses > Nordhavn > Hjem > Lejligheder > København > 5 værelses > Nordhavn,Velkommen til denne fantastiske 5-værelses bolig i Nordhavn!,"Velkommen til Provianthuset!
Vi har nu fornøjelsen af udleje denne store 5-værelses lejlighed, beliggende i det eftertragtede Århusgadekvarteret.
I denne dejlige lejlighed får man 4 gode soveværelser, et dejligt badeværelse samt et stort køkken, en rummelig stue med udgang til boligens altan.
Gamle mursten har givet nyt liv i Provianthuset.
Provianthusets smukke ydre er skabt med hjælp fra murstenene der oprindeligt stammer fra gamle bygninger på Carlsberg, der er blevet revet ned.
Herefter er stenene nænsomt renset og fragtet til Nordhavn, hvor de nu udgør murværket i Provianthuset. Metoden med at genbruge kulbrændte teglsten giver bygningen et helt særligt smukt patineret og rustikt udtryk, men genbruget har samtidig også store miljømæssige fordele. Der spares væsentlige mængder CO2 ved ikke at bruge ny producerede sten, og selve afrensningen af stenen sker ved mekanisk vibrationsteknologi uden hverken brug af vand eller kemikalier.
Stenene bærer historien i sig, sikrer visionært byggeri og er samtidig garanteret lige så stærk og holdbar som nye sten.
I området ved den gamle Frihavn ligger smukke, gamle havnebygninger, siloer og kajanlæg side om side med spændende nybyggerier og skaber kontrast, liv og international stemning. Erhverv, boliger og butikker blander sig og gør området til et trygt sted at være - hele døgnet.
Engang lå Rhedhavnen her, hvorfra proviant blev sejlet ud til træskibe fortøjet på Rheden. Stadig i dag spiller havnen en vigtig rolle i kvarteret og kun få skridt fra din hoveddør kan du dyppe tæerne i det skvulpende vand, mens du kigger ud mod Øresund og trækker havluft dybt ned i lungerne.
Lejemålets lejeperiode er ubegrænset. Lejemålet kan ikke opsiges de første 12 måneder, herefter er der 3 måneders opsigelse.
Husdyr ikke tilladt.
*Bemærk at billederne ikke nødvendigvis er taget af/fra den pågældende bolig, og at udsigt m.v. derfor kan variere.","7 timer siden, Antwerpengade, 2150 København, Nordhavn  - 3. sal",29500.0,1500.0,2025-08-01,149.000 kr.,Lejlighed,135.0,5,3,No,Ja,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,,88500.0,29500.0,2025-05-14,5095017,/static/images/energy_labels/A20_str2.png,,A20,Nordhavn,1-3 months,1.0,31000.0,<1 month
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/111m2-4-vaer-id-5505900,Hjem > Lejligheder > København > 4 værelses > København V > Hjem > Lejligheder > København > 4 værelses > København V,Vand og smuk udsigt,"Denne skønne 4 vær. lejlighed ligger i det centrale København. Træd ind i en god og brugbar entre – lækkert badeværelse, 3 værelser samt en stor stue med åbent køkken samt dejlig altan.  Vigtigt, at bemærke, at i lejligheden medfølger flotte gardiner og der er mulighed ligeledes at leje en parkeringsplads i kælderen.

Denne type lejlighed ligger på fra 16 etage til og med 27 etage. Priserne starter fra kr. 26.200 + vand, varme og køl.

Lejligheden ligger i Postbyens markante silhuet med sine fire runde tårne er allerede blevet et nyt vartegn for den centrale del af København. I to af tårnene indrettes der 160 moderne lejeboliger.

I Postbyen bor du i et helt nyt levende bykvarter med hoteller, butikker, restauranter, caféer, og meget mere. Dit nye hjem ligger omgivet af smuk arkitektur, og nedenfor din hoveddør ligger byparken, der grønt og frodigt snor sig gennem Postbyen. Fri for biler og med plads til mennesker.

De cirkelrunde boligtårne skaber nemlig vinkler, snit og hjørner, hvor man hver dag kan glædes over at bo i et hjem, hvor vægge, gulve og lofter ikke følger den traditionelle vinkeltrekant.

Boligtårnenes karakteristiske takkede facadeprofiler skaber nogle spændende indvendige vinduesløsninger med dybe nicher. Det giver en række hyggelige kroge, hvor udsigten kan nydes med en pude i ryggen og byen for fødderne.

Alle boliger er forkælet med muligheden for at sidde udenfor på sin egen, private altan, hvor udsigten tager vejret fra dig, jo højere du bor. En oplevelse, der først slutter, når elevatoren standser ved 28. etage i det højeste boligtårn.

Øverst oppe i begge boligtårne er der skabt rum for to imponerende fællesrum, hvor du som lejer kan booke dig ind til at afholde arrangementer, fødselsdage eller barnedåben. Måske er i en række naboer, der går sammen om at booke en foredragsholder eller en yogainstruktør – der kan være noget ret magisk over at lave en solhilsen med udsigt over byen, Øresund og hele vejen til Sverige.

Lejer bedes bemærke, at billederne nødvendigvis ikke stammer fra den konkrete bolig, men kan være fra andre lejligheder i komplekset.","7 timer siden, Posten, 1577 København, København V  - 16. sal",26200.0,1550.0,2026-02-01,132.550 kr.,Lejlighed,111.0,4,16,No,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,-,78600.0,26200.0,2025-05-14,5505900,,,,København V,3+ months,1.0,27750.0,<1 month
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/110m2-4-vaer-id-5505899,Hjem > Lejligheder > København > 4 værelses > København V > Hjem > Lejligheder > København > 4 værelses > København V,Bo i hjertet af København,"Denne skønne 4 vær. lejlighed ligger i det centrale København. Træd ind i en god og brugbar entre – lækkert badeværelse, 3 værelser samt en stor stue med åbent køkken samt dejlig altan.  Vigtigt, at bemærke, at i lejligheden medfølger flotte gardiner og der er mulighed ligeledes at leje en parkeringsplads i kælderen.

Denne type lejlighed ligger på 14 og 15. sal. Priserne starter fra kr. 23.000 + vand, varme og køl.

Lejligheden ligger i Postbyens markante silhuet med sine fire runde tårne er allerede blevet et nyt vartegn for den centrale del af København. I to af tårnene indrettes der 160 moderne lejeboliger.

I Postbyen bor du i et helt nyt levende bykvarter med hoteller, butikker, restauranter, caféer, og meget mere. Dit nye hjem ligger omgivet af smuk arkitektur, og nedenfor din hoveddør ligger byparken, der grønt og frodigt snor sig gennem Postbyen. Fri for biler og med plads til mennesker.

De cirkelrunde boligtårne skaber nemlig vinkler, snit og hjørner, hvor man hver dag kan glædes over at bo i et hjem, hvor vægge, gulve og lofter ikke følger den traditionelle vinkeltrekant.

Boligtårnenes karakteristiske takkede facadeprofiler skaber nogle spændende indvendige vinduesløsninger med dybe nicher. Det giver en række hyggelige kroge, hvor udsigten kan nydes med en pude i ryggen og byen for fødderne.

Alle boliger er forkælet med muligheden for at sidde udenfor på sin egen, private altan, hvor udsigten tager vejret fra dig, jo højere du bor. En oplevelse, der først slutter, når elevatoren standser ved 28. etage i det højeste boligtårn.

Øverst oppe i begge boligtårne er der skabt rum for to imponerende fællesrum, hvor du som lejer kan booke dig ind til at afholde arrangementer, fødselsdage eller barnedåben. Måske er i en række naboer, der går sammen om at booke en foredragsholder eller en yogainstruktør – der kan være noget ret magisk over at lave en solhilsen med udsigt over byen, Øresund og hele vejen til Sverige.

Lejer bedes bemærke, at billederne nødvendigvis ikke stammer fra den konkrete bolig, men kan være fra andre lejligheder i komplekset.","7 timer siden, Posten, 1577 København, København V  - 14. sal",23000.0,1550.0,2026-02-01,116.550 kr.,Lejlighed,110.0,4,14,No,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,-,69000.0,23000.0,2025-05-14,5505899,,,,København V,3+ months,1.0,24550.0,<1 month
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/55m2-1-vaer-id-5356802,Hjem > Lejligheder > København > 1 værelses > København Nv > Hjem > Lejligheder > København > 1 værelses > København Nv,Prøv noget fedt!,"Flot et- værelses lejlighed med stor altan. 
Lejemålet er placeret i nyrenoveret ejendom.","8 timer siden, Glentevej, 2400 København, København NV  - 2. sal",11500.0,600.0,2025-05-15,46.600 kr.,Lejlighed,55.0,1,2,No,Ja,Nej,Ja,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,,34500.0,0.0,2025-05-14,5356802,/static/images/energy_labels/B_str2.png,,B,København NV,<1 month,1.0,12100.0,<1 month
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/62m2-2-vaer-id-5505879,Hjem > Lejligheder > København > 2 værelses > Brøndby > Hjem > Lejligheder > København > 2 værelses > Brøndby,2 værelses lejlighed på Elementfabrikken i Brøndby udlejes,"I Fælledens lejligheder på 2-4 værelser i Kirkebjerg Søpark er der plads til, at alle kan trives, hvad enten du er single, familie med børn eller senior. Moderne, gennemtænkte planløsninger sørger for, at du får mest muligt ud af dine kvadratmeter. Hjertet i boligen er det store køkken-alrum, hvorfra du træder ud på din private altan eller terrasse med udkig mod enten syd eller vest. Du finder desuden gode parkeringsmuligheder i et af områdets to parkeringshuse.","9 timer siden, Elementfabrikken, 2605 København, Brøndby  - 1. sal",10800.0,400.0,2025-08-01,54.400 kr.,Lejlighed,62.0,2,1,No,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,,32400.0,10800.0,2025-05-14,5505879,/static/images/energy_labels/A15_str2.png,,A15,Brøndby,1-3 months,1.0,11200.0,<1 month
